DateTime,TimeOffset,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,EnviroDIY_Mayfly_Temp,Digi_Cellular_SignalPercent
2021-04-30 22:50:00+00:00,-8,2021-04-30 14:50:00,0.0,-3.5,24.5,4.291,27.75,90.0
2021-04-30 22:55:00+00:00,-8,2021-04-30 14:55:00,0.0,-3.3,24.5,4.23,27.75,51.0
2021-04-30 23:00:00+00:00,-8,2021-04-30 15:00:00,0.0,-3.7,24.5,4.23,27.5,90.0
2021-05-04 16:30:00+00:00,-8,2021-05-04 08:30:00,0.0,-2.8,24.4,3.912,28.0,90.0
2021-05-04 16:35:00+00:00,-8,2021-05-04 08:35:00,127.7,81.7,29.8,3.912,27.25,109.0
2021-05-04 16:40:00+00:00,-8,2021-05-04 08:40:00,120.2,93.5,31.5,3.912,27.25,109.0
2021-05-04 16:45:00+00:00,-8,2021-05-04 08:45:00,118.8,96.0,31.8,3.912,27.5,109.0
2021-05-04 16:50:00+00:00,-8,2021-05-04 08:50:00,118.2,97.7,31.8,3.912,27.5,109.0
2021-05-04 16:55:00+00:00,-8,2021-05-04 08:55:00,115.5,96.7,31.6,3.912,28.0,109.0
2021-05-04 17:00:00+00:00,-8,2021-05-04 09:00:00,117.3,98.0,31.3,3.912,27.75,90.0
2021-05-04 17:10:00+00:00,-8,2021-05-04 09:10:00,116.2,99.5,30.5,4.503,30.25,109.0
2021-05-04 17:15:00+00:00,-8,2021-05-04 09:15:00,118.5,98.7,30.1,4.503,30.25,109.0
2021-05-04 17:20:00+00:00,-8,2021-05-04 09:20:00,117.7,98.5,29.8,4.503,30.5,109.0
2021-05-04 17:25:00+00:00,-8,2021-05-04 09:25:00,118.3,97.0,29.5,4.503,30.5,109.0
2021-05-04 17:30:00+00:00,-8,2021-05-04 09:30:00,119.2,97.5,29.2,4.503,30.5,109.0
2021-05-04 17:35:00+00:00,-8,2021-05-04 09:35:00,117.8,97.5,29.0,3.972,30.0,51.0
2021-05-04 17:40:00+00:00,-8,2021-05-04 09:40:00,118.8,97.8,28.8,3.957,28.0,109.0
2021-05-04 17:45:00+00:00,-8,2021-05-04 09:45:00,118.3,98.2,28.6,3.957,27.25,109.0
2021-05-04 17:50:00+00:00,-8,2021-05-04 09:50:00,118.8,97.5,28.42,3.957,27.0,109.0
2021-05-04 17:55:00+00:00,-8,2021-05-04 09:55:00,118.7,96.7,28.3,3.957,27.0,109.0
2021-05-04 18:00:00+00:00,-8,2021-05-04 10:00:00,118.3,97.2,28.08,3.957,27.0,109.0
2021-05-04 18:05:00+00:00,-8,2021-05-04 10:05:00,117.3,97.5,27.9,3.957,27.0,109.0
2021-05-04 18:10:00+00:00,-8,2021-05-04 10:10:00,119.0,97.0,27.78,3.957,27.0,109.0
2021-05-04 18:15:00+00:00,-8,2021-05-04 10:15:00,118.0,97.7,27.6,3.957,27.0,109.0
2021-05-04 18:20:00+00:00,-8,2021-05-04 10:20:00,118.3,98.0,27.5,3.957,27.0,109.0
2021-05-04 18:25:00+00:00,-8,2021-05-04 10:25:00,119.0,98.0,27.4,3.957,27.0,109.0
2021-05-04 18:30:00+00:00,-8,2021-05-04 10:30:00,119.8,97.8,27.23,3.957,27.0,51.0
2021-05-04 18:35:00+00:00,-8,2021-05-04 10:35:00,118.5,98.2,27.1,3.957,27.25,109.0
2021-05-04 18:40:00+00:00,-8,2021-05-04 10:40:00,118.7,97.2,27.0,3.957,27.25,109.0
2021-05-04 18:45:00+00:00,-8,2021-05-04 10:45:00,119.8,97.5,26.9,3.957,27.25,109.0
2021-05-04 18:50:00+00:00,-8,2021-05-04 10:50:00,119.0,97.7,26.8,3.957,27.0,109.0
2021-05-04 18:55:00+00:00,-8,2021-05-04 10:55:00,120.8,96.8,26.7,3.957,27.25,109.0
2021-05-04 19:00:00+00:00,-8,2021-05-04 11:00:00,120.3,97.7,26.62,3.957,27.25,109.0
2021-05-04 19:05:00+00:00,-8,2021-05-04 11:05:00,120.2,97.3,26.6,3.957,27.25,90.0
2021-05-04 19:10:00+00:00,-8,2021-05-04 11:10:00,120.3,96.3,26.5,3.957,27.25,51.0
2021-05-04 19:15:00+00:00,-8,2021-05-04 11:15:00,119.2,96.5,26.4,3.957,27.5,109.0
2021-05-04 19:20:00+00:00,-8,2021-05-04 11:20:00,120.7,96.0,26.33,3.957,27.5,109.0
2021-05-04 19:25:00+00:00,-8,2021-05-04 11:25:00,119.8,96.0,26.3,3.957,27.5,109.0
2021-05-04 19:30:00+00:00,-8,2021-05-04 11:30:00,120.7,96.2,26.2,3.957,27.75,109.0
2021-05-04 19:35:00+00:00,-8,2021-05-04 11:35:00,119.5,96.0,26.1,3.957,28.0,109.0
2021-05-04 19:40:00+00:00,-8,2021-05-04 11:40:00,120.8,95.8,26.02,3.957,28.0,109.0
2021-05-04 19:45:00+00:00,-8,2021-05-04 11:45:00,120.3,96.2,26.0,3.957,28.0,109.0
2021-05-04 19:50:00+00:00,-8,2021-05-04 11:50:00,120.8,96.0,25.9,3.957,28.25,51.0
