DateTime,TimeOffset,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,EnviroDIY_Mayfly_Temp,Digi_Cellular_SignalPercent
2023-05-22 00:00:00+00:00,-8,2023-05-21 16:00:00,424.0,360.7,18.6,4.139,29.5,109.0
2023-05-22 00:05:00+00:00,-8,2023-05-21 16:05:00,423.8,360.5,18.6,4.139,29.25,71.0
2023-05-22 00:10:00+00:00,-8,2023-05-21 16:10:00,423.0,361.0,18.6,4.139,29.0,71.0
2023-05-22 00:15:00+00:00,-8,2023-05-21 16:15:00,422.5,361.0,18.6,4.139,28.5,109.0
2023-05-22 00:20:00+00:00,-8,2023-05-21 16:20:00,424.2,359.7,18.6,4.139,28.25,71.0
2023-05-22 00:25:00+00:00,-8,2023-05-21 16:25:00,423.7,371.7,18.6,4.139,27.75,109.0
2023-05-22 00:30:00+00:00,-8,2023-05-21 16:30:00,423.3,361.8,18.6,4.139,27.25,109.0
2023-05-22 00:35:00+00:00,-8,2023-05-21 16:35:00,423.2,360.8,18.6,4.139,27.0,109.0
2023-05-22 00:40:00+00:00,-8,2023-05-21 16:40:00,423.2,359.7,18.6,4.139,26.5,109.0
2023-05-22 00:45:00+00:00,-8,2023-05-21 16:45:00,422.7,360.3,18.6,4.139,26.25,71.0
2023-05-22 00:50:00+00:00,-8,2023-05-21 16:50:00,424.0,371.7,18.6,4.139,26.0,109.0
2023-05-22 00:55:00+00:00,-8,2023-05-21 16:55:00,422.8,363.3,18.6,4.139,25.75,109.0
2023-05-22 01:00:00+00:00,-8,2023-05-21 17:00:00,423.7,360.3,18.6,4.139,25.25,109.0
2023-05-22 01:05:00+00:00,-8,2023-05-21 17:05:00,423.0,360.2,18.6,4.139,24.75,109.0
2023-05-22 01:10:00+00:00,-8,2023-05-21 17:10:00,423.3,360.3,18.6,4.139,24.5,109.0
2023-05-22 01:15:00+00:00,-8,2023-05-21 17:15:00,423.8,360.2,18.6,4.139,24.25,109.0
2023-05-22 01:20:00+00:00,-8,2023-05-21 17:20:00,423.5,361.0,18.6,4.139,23.75,109.0
2023-05-22 01:25:00+00:00,-8,2023-05-21 17:25:00,423.2,360.0,18.6,4.139,23.25,109.0
2023-05-22 01:30:00+00:00,-8,2023-05-21 17:30:00,423.3,360.0,18.62,4.139,23.25,109.0
2023-05-22 01:35:00+00:00,-8,2023-05-21 17:35:00,422.2,360.3,18.7,4.139,22.75,109.0
2023-05-22 01:40:00+00:00,-8,2023-05-21 17:40:00,423.3,360.3,18.7,4.139,22.5,109.0
2023-05-22 01:45:00+00:00,-8,2023-05-21 17:45:00,424.0,360.8,18.7,4.139,22.0,109.0
2023-05-22 01:50:00+00:00,-8,2023-05-21 17:50:00,424.5,361.0,18.7,4.139,21.75,109.0
2023-05-22 01:55:00+00:00,-8,2023-05-21 17:55:00,422.8,360.2,18.7,4.139,21.25,109.0
2023-05-22 02:05:00+00:00,-8,2023-05-21 18:05:00,425.3,360.3,18.7,4.124,21.0,109.0
2023-05-22 02:10:00+00:00,-8,2023-05-21 18:10:00,423.0,360.2,18.7,4.124,20.5,71.0
2023-05-22 02:15:00+00:00,-8,2023-05-21 18:15:00,424.3,360.2,18.7,4.124,20.25,109.0
