start_time,end_time,inches
2021-12-29 09:00:00+00:00,2021-12-29 10:00:00+00:00,0.09
2021-12-29 10:15:00+00:00,2021-12-29 11:30:00+00:00,0.08
2021-12-29 11:45:00+00:00,2021-12-29 13:00:00+00:00,0.05
2021-12-29 13:30:00+00:00,2021-12-29 14:45:00+00:00,0.05
2021-12-29 16:00:00+00:00,2021-12-29 16:30:00+00:00,0.06
2021-12-29 16:45:00+00:00,2021-12-29 17:00:00+00:00,0.02
2021-12-29 17:15:00+00:00,2021-12-29 17:30:00+00:00,0.01
2021-12-29 18:00:00+00:00,2021-12-29 18:15:00+00:00,0.01
2021-12-29 20:00:00+00:00,2021-12-29 20:30:00+00:00,0.03
2021-12-29 20:45:00+00:00,2021-12-29 21:15:00+00:00,0.04
2021-12-29 21:45:00+00:00,2021-12-29 22:00:00+00:00,0.01
2021-12-30 01:15:00+00:00,2021-12-30 01:30:00+00:00,0.01
2022-01-04 00:30:00+00:00,2022-01-04 01:00:00+00:00,0.02
2022-01-04 01:30:00+00:00,2022-01-04 02:00:00+00:00,0.02
2022-01-04 02:15:00+00:00,2022-01-04 06:00:00+00:00,0.29000000000000004
2022-01-04 06:15:00+00:00,2022-01-04 08:15:00+00:00,0.24000000000000002
2022-01-04 09:45:00+00:00,2022-01-04 10:00:00+00:00,0.01
2022-01-04 10:15:00+00:00,2022-01-04 11:30:00+00:00,0.05
2022-01-04 11:45:00+00:00,2022-01-04 12:15:00+00:00,0.02
2022-01-04 12:45:00+00:00,2022-01-04 13:30:00+00:00,0.05
2022-01-04 13:45:00+00:00,2022-01-04 15:45:00+00:00,0.1
2022-01-04 16:45:00+00:00,2022-01-04 17:00:00+00:00,0.01
2022-01-05 16:00:00+00:00,2022-01-05 16:15:00+00:00,0.01
2022-01-07 10:00:00+00:00,2022-01-07 10:30:00+00:00,0.02
2022-01-07 20:15:00+00:00,2022-01-07 20:30:00+00:00,0.01
